Date,ACK (count),SYN (count),SYN+ACK (count),PUSH (count)
00:00,3646,15005,316,2071
01:00,542093,22552,1339,30305
02:00,233461,16908,777,22473
03:00,14165,13383,372,8783
04:00,1322067,12495,430,60317
05:00,13791,20809,331,8556
06:00,15068,19965,281,9322
07:00,178841,20952,1044,25174
08:00,12532,9137,226,6660
09:00,132612,2735,1362,34849
10:00,686579,19216,9208,148230
11:00,561722,15412,7683,140153
12:00,503395,11643,5812,119958
13:00,30238,805,415,7940
14:00,771405,25478,9814,151733
15:00,380622,5364,2533,51018
16:00,7235,541,263,4048
17:00,0,0,0,0
18:00,0,0,0,0
19:00,0,0,0,0
20:00,0,0,0,0
21:00,0,0,0,0
22:00,8117,1934,172,2778
23:00,47005,23148,845,21658
